,x
0,37.88679583541352
1,63.86016012864184
2,123.27775301758231
3,53.555065122120936
4,47.45763795265134
5,70.56260153434175
6,60.70690525149939
7,58.43333346213012
8,126.35745946406644
9,13.064702208125254
10,155.3224923904899
11,20.50010963398836
12,79.79094319605542
13,120.61922036687292
14,112.47635230357787
15,23.600956485452116
16,70.6620780337978
17,40.51060242022163
18,70.55121071310919
19,27.959579978284182
20,112.09726129645344
21,34.2246357380111
22,8.549997353468143
23,33.88500949437639
24,34.27379260543739
25,85.85555842730264
26,101.95111316865996
27,33.92493525387545
28,122.48916695821174
29,203.16687324297143
30,103.12407611658938
31,37.26374746010788
32,133.32395190542357
33,164.56406115377686
34,47.88487342901453
35,76.74897759115856
36,80.35088536253625
37,68.5201385515577
38,68.6361888413038
39,128.98779252610223
40,150.557537181607
41,136.0053319234379
42,118.03294411634067
43,125.69238270061572
44,65.93273100744398
45,85.0996729750741
46,55.60649027865725
47,77.38479740389391
48,64.10638049689908
49,67.55330871284161
50,128.84572088428308
51,111.22794804321853
52,44.6893851515199
53,55.62370615526834
54,167.05108084734525
55,84.19042219928053
56,241.34460325997492
57,38.44000726705008
58,46.13734013443309
59,141.36867716800103
60,49.80460337670797
61,42.17552841495012
62,41.58915003874267
63,78.95388135559165
64,57.66358554901535
65,71.2608941668177
66,47.02597840632666
67,61.22138565380146
68,38.36277334935244
69,68.62326528791846
70,121.40660099808667
71,40.74436620532515
72,62.25330189331464
73,106.84052248814709
74,19.905707883022387
75,112.24703837397738
76,66.3642527016599
77,74.94286088033618
78,26.134082082154464
79,110.880760060184
80,69.04969045736414
81,33.740882174779244
82,38.72307774819342
83,47.224529475659665
84,81.97547856741414
85,39.664425522552165
86,90.86811372505281
87,55.561301689480956
88,163.88413485463576
89,140.8792967925586
90,41.84189351109512
91,60.857421116772684
92,41.21170621431952
93,74.20323082714856
94,91.67076484020333
95,122.2848127795736
96,49.96860132461211
97,62.42726851607472
98,57.91867022188637
99,170.42956703022077
100,121.85852976124818
101,14.804110548586777
102,123.79703325807691
103,49.93474060625954
104,48.29616319809065
105,57.13512287746323
106,100.42898864222605
107,11.244725518304904
108,56.7136128992837
109,71.06107666926584
110,52.45098355896448
111,146.07827222516218
112,56.75473568954726
113,97.50725185212161
114,93.34735596674534
115,112.4855239655285
116,73.98046046072113
117,96.07818893366942
118,137.92949911389783
119,27.12931676394828
120,147.027653877944
121,61.020525234830984
122,162.64066742367464
123,34.9419114310831
124,162.65412881952608
125,101.78264888430999
126,120.42209573383423
127,136.11766175952135
128,27.475920213202016
129,39.85440761454606
130,80.17190723657927
131,44.28513331081581
132,101.60213162344309
133,69.30079765108951
