,x
0,54.0
1,66.0
2,40.0
3,62.0
4,48.0
5,58.0
6,59.0
7,57.0
8,40.0
9,51.0
10,31.0
11,60.0
12,36.0
13,37.0
14,54.0
15,31.0
16,65.0
17,35.0
18,64.0
19,63.0
20,26.0
21,55.0
22,14.0
23,21.0
24,52.0
25,21.0
26,30.0
27,47.0
28,50.0
29,64.0
30,63.0
31,34.0
32,31.0
33,10.0
34,55.0
35,61.0
36,64.0
37,61.0
38,46.0
39,63.0
40,54.0
41,54.0
42,47.0
43,55.0
44,56.0
45,59.0
46,43.0
47,53.0
48,69.0
49,64.0
50,50.0
51,63.0
52,61.0
53,59.0
54,54.0
55,53.0
56,57.0
57,53.0
58,47.0
59,45.0
60,54.0
61,59.0
62,58.0
63,57.0
64,36.0
65,57.0
66,55.0
67,57.0
68,40.0
69,41.0
70,50.0
71,70.0
72,58.0
73,45.0
74,56.0
75,47.0
76,62.0
77,50.0
78,27.0
79,58.0
80,24.0
81,47.0
82,54.0
83,46.0
84,48.0
85,56.0
86,27.0
87,40.0
88,46.0
89,52.0
90,51.0
91,45.0
92,53.0
93,59.0
94,44.0
95,56.0
96,49.0
97,59.0
98,59.0
99,36.0
100,59.0
101,43.0
102,56.0
103,43.0
104,49.0
105,28.0
106,43.0
107,59.0
108,67.0
109,59.0
110,67.0
111,61.0
112,61.0
113,61.0
114,63.0
115,55.0
116,62.0
117,17.0
118,24.0
119,52.0
120,51.0
121,12.0
122,47.0
123,47.0
124,48.0
125,48.0
126,50.0
127,46.0
128,59.0
129,47.0
130,12.0
131,55.0
132,47.0
133,52.0
134,47.0
135,54.0
136,47.0
137,65.0
138,27.0
139,65.0
140,55.0
141,41.0
142,69.0
143,62.0
144,51.0
145,13.0
146,28.0
147,56.0
148,44.0
149,53.0
150,39.0
151,7.0
152,39.0
153,65.0
154,46.0
155,54.0
156,50.0
157,50.0
158,50.0
159,57.0
160,51.0
161,61.0
162,58.0
163,60.0
164,49.0
165,56.0
166,66.0
167,26.0
168,53.0
169,45.0
170,57.0
171,51.0
172,64.0
173,39.0
174,63.0
175,43.0
176,65.0
177,52.0
178,49.0
179,57.0
180,55.0
181,53.0
182,65.0
183,54.0
184,45.0
185,31.0
186,59.0
187,54.0
188,58.0
189,45.0
190,43.0
191,7.0
192,44.0
193,45.0
194,56.0
195,55.0
196,55.0
197,23.0
198,53.0
199,57.0
200,45.0
201,62.0
202,59.0
203,44.0
204,19.0
205,24.0
206,45.0
207,58.0
208,41.0
209,46.0
210,43.0
211,56.0
212,67.0
213,36.0
214,35.0
215,63.0
216,46.0
217,49.0
218,58.0
219,62.0
220,47.0
221,50.0
222,58.0
223,46.0
224,64.0
225,19.0
226,49.0
227,51.0
228,54.0
229,46.0
230,50.0
231,51.0
232,66.0
233,43.0
234,59.0
235,38.0
236,61.0
237,51.0
238,50.0
239,46.0
240,59.0
241,62.0
242,63.0
243,2.0
244,62.0
245,51.0
246,58.0
247,63.0
248,21.0
249,70.0
250,62.0
251,41.0
252,50.0
253,50.0
254,60.0
255,52.0
256,59.0
257,50.0
258,33.0
259,41.0
260,62.0
261,54.0
262,54.0
263,30.0
264,56.0
265,4.0
266,47.0
267,54.0
268,69.0
269,42.0
270,43.0
271,60.0
272,36.0
273,44.0
274,29.0
275,30.0
276,30.0
277,41.0
278,25.0
279,57.0
280,44.0
281,56.0
282,49.0
283,53.0
284,52.0
285,49.0
286,59.0
287,54.0
288,30.0
289,52.0
290,47.0
291,51.0
292,55.0
293,61.0
294,55.0
295,57.0
296,62.0
